    x-coordinate,    y-coordinate,     temperature
1.72E-02,6.75E-03,2.88E+02
1.78E-02,6.25E-03,2.88E+02
1.37E-02,9.75E-03,2.87E+02
1.43E-02,9.25E-03,2.87E+02
1.48E-02,8.75E-03,2.87E+02
1.53E-02,8.25E-03,2.87E+02
1.58E-02,7.75E-03,2.87E+02
1.63E-02,7.25E-03,2.88E+02
1.68E-02,6.75E-03,2.88E+02
1.72E-02,6.25E-03,2.88E+02
1.32E-02,9.75E-03,2.86E+02
1.37E-02,9.25E-03,2.87E+02
1.43E-02,8.75E-03,2.87E+02
1.48E-02,8.25E-03,2.87E+02
1.53E-02,7.75E-03,2.87E+02
1.58E-02,7.25E-03,2.87E+02
1.63E-02,6.75E-03,2.88E+02
1.68E-02,6.25E-03,2.88E+02
1.32E-02,9.25E-03,2.86E+02
1.37E-02,8.75E-03,2.87E+02
1.43E-02,8.25E-03,2.87E+02
1.48E-02,7.75E-03,2.87E+02
1.53E-02,7.25E-03,2.87E+02
1.58E-02,6.75E-03,2.87E+02
1.63E-02,6.25E-03,2.88E+02
1.32E-02,8.75E-03,2.86E+02
1.37E-02,8.25E-03,2.87E+02
1.43E-02,7.75E-03,2.87E+02
1.48E-02,7.25E-03,2.87E+02
1.53E-02,6.75E-03,2.87E+02
1.58E-02,6.25E-03,2.87E+02
1.32E-02,8.25E-03,2.86E+02
1.37E-02,7.75E-03,2.87E+02
1.43E-02,7.25E-03,2.87E+02
1.48E-02,6.75E-03,2.87E+02
1.53E-02,6.25E-03,2.87E+02
1.32E-02,7.75E-03,2.86E+02
1.37E-02,7.25E-03,2.87E+02
1.43E-02,6.75E-03,2.87E+02
1.48E-02,6.25E-03,2.87E+02
1.32E-02,7.25E-03,2.86E+02
1.37E-02,6.75E-03,2.87E+02
1.43E-02,6.25E-03,2.87E+02
1.32E-02,6.75E-03,2.86E+02
1.37E-02,6.25E-03,2.87E+02
1.33E-02,6.25E-03,2.86E+02
1.27E-02,9.75E-03,2.86E+02
1.22E-02,9.75E-03,2.86E+02
1.27E-02,9.25E-03,2.86E+02
1.17E-02,9.75E-03,2.86E+02
1.22E-02,9.25E-03,2.86E+02
1.27E-02,8.75E-03,2.86E+02
1.12E-02,9.75E-03,2.86E+02
1.17E-02,9.25E-03,2.86E+02
1.22E-02,8.75E-03,2.86E+02
1.27E-02,8.25E-03,2.86E+02
1.08E-02,9.75E-03,2.86E+02
1.12E-02,9.25E-03,2.86E+02
1.17E-02,8.75E-03,2.86E+02
1.22E-02,8.25E-03,2.86E+02
1.27E-02,7.75E-03,2.86E+02
1.03E-02,9.75E-03,2.86E+02
1.08E-02,9.25E-03,2.86E+02
1.12E-02,8.75E-03,2.86E+02
1.17E-02,8.25E-03,2.86E+02
1.22E-02,7.75E-03,2.86E+02
1.27E-02,7.25E-03,2.86E+02
9.75E-03,9.75E-03,2.85E+02
1.03E-02,9.25E-03,2.86E+02
1.08E-02,8.75E-03,2.86E+02
1.12E-02,8.25E-03,2.86E+02
1.17E-02,7.75E-03,2.86E+02
1.22E-02,7.25E-03,2.86E+02
1.27E-02,6.75E-03,2.86E+02
9.25E-03,9.75E-03,2.85E+02
9.75E-03,9.25E-03,2.85E+02
1.03E-02,8.75E-03,2.86E+02
1.08E-02,8.25E-03,2.86E+02
1.12E-02,7.75E-03,2.86E+02
1.17E-02,7.25E-03,2.86E+02
1.22E-02,6.75E-03,2.86E+02
1.27E-02,6.25E-03,2.86E+02
8.75E-03,9.75E-03,2.85E+02
9.25E-03,9.25E-03,2.85E+02
9.75E-03,8.75E-03,2.85E+02
1.03E-02,8.25E-03,2.86E+02
1.08E-02,7.75E-03,2.86E+02
1.12E-02,7.25E-03,2.86E+02
1.17E-02,6.75E-03,2.86E+02
1.22E-02,6.25E-03,2.86E+02
8.25E-03,9.75E-03,2.85E+02
8.75E-03,9.25E-03,2.85E+02
9.25E-03,8.75E-03,2.85E+02
9.75E-03,8.25E-03,2.85E+02
1.03E-02,7.75E-03,2.86E+02
1.08E-02,7.25E-03,2.86E+02
1.12E-02,6.75E-03,2.86E+02
1.17E-02,6.25E-03,2.86E+02
7.75E-03,9.75E-03,2.85E+02
8.25E-03,9.25E-03,2.85E+02
8.75E-03,8.75E-03,2.85E+02
9.25E-03,8.25E-03,2.85E+02
9.75E-03,7.75E-03,2.85E+02
1.03E-02,7.25E-03,2.86E+02
1.08E-02,6.75E-03,2.86E+02
1.13E-02,6.25E-03,2.86E+02
7.25E-03,9.75E-03,2.85E+02
7.75E-03,9.25E-03,2.85E+02
8.25E-03,8.75E-03,2.85E+02
8.75E-03,8.25E-03,2.85E+02
9.25E-03,7.75E-03,2.85E+02
9.75E-03,7.25E-03,2.85E+02
1.03E-02,6.75E-03,2.86E+02
1.08E-02,6.25E-03,2.86E+02
6.75E-03,9.75E-03,2.85E+02
7.25E-03,9.25E-03,2.85E+02
7.75E-03,8.75E-03,2.85E+02
8.25E-03,8.25E-03,2.85E+02
8.75E-03,7.75E-03,2.85E+02
9.25E-03,7.25E-03,2.85E+02
9.75E-03,6.75E-03,2.85E+02
1.03E-02,6.25E-03,2.86E+02
6.25E-03,9.75E-03,2.85E+02
6.75E-03,9.25E-03,2.85E+02
7.25E-03,8.75E-03,2.85E+02
7.75E-03,8.25E-03,2.85E+02
8.25E-03,7.75E-03,2.85E+02
8.75E-03,7.25E-03,2.85E+02
9.25E-03,6.75E-03,2.85E+02
9.75E-03,6.25E-03,2.85E+02
5.75E-03,9.75E-03,2.85E+02
6.25E-03,9.25E-03,2.85E+02
6.75E-03,8.75E-03,2.85E+02
7.25E-03,8.25E-03,2.85E+02
7.75E-03,7.75E-03,2.85E+02
8.25E-03,7.25E-03,2.85E+02
8.75E-03,6.75E-03,2.85E+02
9.25E-03,6.25E-03,2.85E+02
5.25E-03,9.75E-03,2.85E+02
5.75E-03,9.25E-03,2.85E+02
6.25E-03,8.75E-03,2.85E+02
6.75E-03,8.25E-03,2.85E+02
7.25E-03,7.75E-03,2.85E+02
7.75E-03,7.25E-03,2.85E+02
8.25E-03,6.75E-03,2.85E+02
8.75E-03,6.25E-03,2.85E+02
